21-11-2024 15:12:30 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:12:36 | easy_start | INFO | Trading bot started easy way.
21-11-2024 15:12:53 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:12:53 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:12:53 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:53 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:12:53 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:12:53 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:53 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:12:53 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:12:53 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:12:53 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:53 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:12:53 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:12:53 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:12:53 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:13:00 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:13:00 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:13:00 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:13:00 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
21-11-2024 15:13:00 | get_statistics | WARNING | No data found in log file for MEXC_KAS_BIG_DOWN_5m.
21-11-2024 15:13:00 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:13:00 | get_statistics | INFO | Successfully fetched statistics.
21-11-2024 15:13:10 | get_statistics | INFO | Fetching statistics for active configurations.
21-11-2024 15:13:10 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_1m
21-11-2024 15:13:10 | get_statistics | INFO | Accumulated total profit: 0.0
21-11-2024 15:13:10 | get_statistics | INFO | Processing configuration: MEXC_KAS_BIG_DOWN_5m
